"PlateTrue","Rep","Community","Amoxicillin","Chlorothalonil","Diflufenican","Glyphosate","Imidacloprid","Metaldehyde","Oxytetracycline","Tebuconazole","Complexity","PlateWell","TruePlateWell","AUC"
11,3,"R_ID_7.16_10_R10(1)_TSS",0,0,0,1,0,0,1,0,2,"1F6","11F6",17.0936745279792
16,4,"R_ID_7.16_10_R10(1)_TSS",0,0,0,1,0,0,1,0,2,"1F6","16F6",17.2771212169182
1,1,"R_ID_7.16_10_R10(1)_TSS",0,0,0,0,0,1,0,1,2,"1F7","1F7",20.5676786868403
6,2,"R_ID_7.16_10_R10(1)_TSS",0,0,0,0,0,1,0,1,2,"1F7","6F7",20.2268085304918
11,3,"R_ID_7.16_10_R10(1)_TSS",0,0,0,0,0,1,0,1,2,"1F7","11F7",19.8482440723209
16,4,"R_ID_7.16_10_R10(1)_TSS",0,0,0,0,0,1,0,1,2,"1F7","16F7",20.8187246722906
1,1,"R_ID_7.16_10_R10(1)_TSS",1,1,0,0,0,0,1,0,3,"1F8","1F8",21.4144691630738
6,2,"R_ID_7.16_10_R10(1)_TSS",1,1,0,0,0,0,1,0,3,"1F8","6F8",21.2515535097066
11,3,"R_ID_7.16_10_R10(1)_TSS",1,1,0,0,0,0,1,0,3,"1F8","11F8",21.0044337697057
16,4,"R_ID_7.16_10_R10(1)_TSS",1,1,0,0,0,0,1,0,3,"1F8","16F8",21.6240973335502
1,1,"R_ID_7.16_10_R10(1)_TSS",1,0,1,0,0,0,0,1,3,"1F9","1F9",20.7218644182765
6,2,"R_ID_7.16_10_R10(1)_TSS",1,0,1,0,0,0,0,1,3,"1F9","6F9",20.2467820666309
11,3,"R_ID_7.16_10_R10(1)_TSS",1,0,1,0,0,0,0,1,3,"1F9","11F9",20.1918651073196
16,4,"R_ID_7.16_10_R10(1)_TSS",1,0,1,0,0,0,0,1,3,"1F9","16F9",20.4795917691033
1,1,"R_ID_7.16_10_R10(1)_TSS",1,0,0,0,1,0,0,1,3,"1G10","1G10",21.397426713909
6,2,"R_ID_7.16_10_R10(1)_TSS",1,0,0,0,1,0,0,1,3,"1G10","6G10",20.6194580059432
11,3,"R_ID_7.16_10_R10(1)_TSS",1,0,0,0,1,0,0,1,3,"1G10","11G10",20.3648540484962
16,4,"R_ID_7.16_10_R10(1)_TSS",1,0,0,0,1,0,0,1,3,"1G10","16G10",20.6544172499141
1,1,"R_ID_7.16_10_R10(1)_TSS",0,1,1,0,0,1,0,0,3,"1G11","1G11",20.8846753569997
6,2,"R_ID_7.16_10_R10(1)_TSS",0,1,1,0,0,1,0,0,3,"1G11","6G11",20.368976278987
11,3,"R_ID_7.16_10_R10(1)_TSS",0,1,1,0,0,1,0,0,3,"1G11","11G11",20.1974553409314
16,4,"R_ID_7.16_10_R10(1)_TSS",0,1,1,0,0,1,0,0,3,"1G11","16G11",20.0336182894451
1,1,"R_ID_7.16_10_R10(1)_TSS",0,0,0,0,0,1,0,0,1,"1G2","1G2",21.1720114183267
6,2,"R_ID_7.16_10_R10(1)_TSS",0,0,0,0,0,1,0,0,1,"1G2","6G2",20.0674003014298
11,3,"R_ID_7.16_10_R10(1)_TSS",0,0,0,0,0,1,0,0,1,"1G2","11G2",20.2013866151109
16,4,"R_ID_7.16_10_R10(1)_TSS",0,0,0,0,0,1,0,0,1,"1G2","16G2",20.6996982711054
1,1,"R_ID_7.16_10_R10(1)_TSS",1,0,0,0,1,0,0,0,2,"1G3","1G3",20.4470568738711
6,2,"R_ID_7.16_10_R10(1)_TSS",1,0,0,0,1,0,0,0,2,"1G3","6G3",20.455743723967
11,3,"R_ID_7.16_10_R10(1)_TSS",1,0,0,0,1,0,0,0,2,"1G3","11G3",20.1491090364506
16,4,"R_ID_7.16_10_R10(1)_TSS",1,0,0,0,1,0,0,0,2,"1G3","16G3",20.5534450001883
1,1,"R_ID_7.16_10_R10(1)_TSS",0,1,0,0,1,0,0,0,2,"1G4","1G4",20.243587657251
6,2,"R_ID_7.16_10_R10(1)_TSS",0,1,0,0,1,0,0,0,2,"1G4","6G4",19.6502407680721
11,3,"R_ID_7.16_10_R10(1)_TSS",0,1,0,0,1,0,0,0,2,"1G4","11G4",20.0685550313456
16,4,"R_ID_7.16_10_R10(1)_TSS",0,1,0,0,1,0,0,0,2,"1G4","16G4",19.8746306462187
1,1,"R_ID_7.16_10_R10(1)_TSS",0,0,1,0,0,1,0,0,2,"1G5","1G5",20.9013288809942
